Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
Complementary Health Therapists,6.3,8.0,1.8,27.9,,
Dental Practitioners,17.5,22.3,4.9,27.8,,
Occupational Therapists,23.9,25.6,1.8,7.4,,
Physiotherapists,32.8,42.2,9.4,28.7,,
Podiatrists,6.4,8.5,2.1,31.8,,
Audiologists and Speech Pathologists \ Therapists,12.3,16.6,4.3,34.7,,
Health Therapy Professionals nfd,0.2,0.3,0.1,45.8,,
Medical Practitioners,116.9,130.6,13.7,11.7,,
General Practitioners and Resident Medical Officers,61.5,67.8,6.3,10.2,,
Anaesthetists,5.8,6.0,0.2,3.0,,
Specialist Physicians,17.8,22.6,4.8,27.0,,
Psychiatrists,5.6,5.9,0.3,5.2,,
Surgeons,8.4,9.2,0.8,9.9,,
Other Medical Practitioners,18.1,19.3,1.3,7.0,,
Medical Practitioners nfd,1.0,1.1,0.1,5.3,,
Midwifery and Nursing Professionals,331.5,380.7,49.3,14.9,,
Midwives,15.8,19.3,3.4,21.6,,
Nurse Educators and Researchers,7.1,8.3,1.2,16.5,,
Nurse Managers,18.4,22.6,4.2,23.1,,
Registered Nurses,290.8,331.2,40.4,13.9,,
Midwifery and Nursing Professionals nfd,0.1,0.1,0.0,8.9,,
Health Professionals nfd,2.3,2.9,0.6,26.8,,
Health Professionals nfd,2.3,2.9,0.6,26.8,,
ICT Professionals,374.2,472.7,98.6,26.3,,
"Business and Systems Analysts, and Programmers",215.4,265.3,50.0,23.2,,
ICT Business and Systems Analysts,45.3,51.2,5.9,12.9,,
Multimedia Specialists and Web Developers,13.7,15.6,1.9,13.7,,
Software and Applications Programmers,156.2,198.4,42.2,27.0,,
"Business and Systems Analysts, and Programmers nfd",0.1,0.1,0.0,23.2,,
"Database and Systems Administrators, and ICT Security Specialists",74.8,104.0,29.1,38.9,,
"Database and Systems Administrators, and ICT Security Specialists",74.8,104.0,29.1,38.9,,
ICT Network and Support Professionals,65.1,81.1,16.0,24.6,,
Computer Network Professionals,35.3,43.2,7.9,22.2,,
ICT Support and Test Engineers,10.9,15.7,4.8,43.7,,
Telecommunications Engineering Professionals,17.7,20.8,3.1,17.6,,
ICT Network and Support Professionals nfd,0.8,1.1,0.3,35.3,,
ICT Professionals nfd,17.4,20.9,3.5,20.1,,
ICT Professionals nfd,17.4,20.9,3.5,20.1,,
