Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
Cleaners and Laundry Workers,271.8,288.9,17.1,6.3,,
Car Detailers,14.5,15.4,0.9,6.0,,
Commercial Cleaners,163.8,175.7,11.9,7.3,,
Domestic Cleaners,34.8,37.0,2.2,6.3,,
Housekeepers,20.1,20.5,0.3,1.7,,
Laundry Workers,11.0,11.0,0.0,-0.3,,
Other Cleaners,14.8,15.8,1.0,6.8,,
Cleaners and Laundry Workers nfd,13.2,14.0,0.8,6.0,,
Construction and Mining Labourers,160.3,167.9,7.5,4.7,,
Construction and Mining Labourers,160.3,167.9,7.5,4.7,,
Building and Plumbing Labourers,60.6,65.8,5.2,8.7,,
Concreters,34.8,35.4,0.6,1.7,,
Fencers,11.5,12.1,0.6,5.0,,
Insulation and Home Improvement Installers,22.4,24.3,1.9,8.5,,
Paving and Surfacing Labourers,4.9,5.5,0.6,12.2,,
Railway Track Workers,4.9,5.0,0.2,3.4,,
Structural Steel Construction Workers,15.5,14.4,-1.1,-6.9,,
Other Construction and Mining Labourers,5.7,5.2,-0.5,-8.6,,
Construction and Mining Labourers nfd,0.2,0.2,0.0,4.7,,
Factory Process Workers,184.2,197.2,13.0,7.1,,
Food Process Workers,46.7,54.4,7.7,16.4,,
Food and Drink Factory Workers,19.8,23.3,3.5,17.5,,
"Meat Boners and Slicers, and Slaughterers",8.3,9.7,1.4,17.4,,
"Meat, Poultry and Seafood Process Workers",19.8,22.5,2.7,13.8,,
Food Process Workers nfd,0.1,0.1,0.0,14.3,,
Packers and Product Assemblers,91.1,95.1,4.0,4.4,,
Packers,64.4,68.3,3.9,6.0,,
Product Assemblers,26.1,26.3,0.2,0.7,,
Packers and Product Assemblers nfd,0.1,0.1,0.0,10.0,,
Miscellaneous Factory Process Workers,42.8,43.8,0.9,2.2,,
Metal Engineering Process Workers,12.1,13.3,1.2,10.0,,
Plastics and Rubber Factory Workers,1.4,1.3,-0.1,-5.0,,
Product Quality Controllers,10.9,10.7,-0.3,-2.7,,
Timber and Wood Process Workers,5.5,4.8,-0.7,-13.2,,
Other Factory Process Workers,11.4,12.2,0.8,6.9,,
Miscellaneous Factory Process Workers nfd,0.1,0.1,0.0,9.1,,
Factory Process Workers nfd,1.7,2.1,0.4,20.8,,
Factory Process Workers nfd,1.7,2.1,0.4,20.8,,
"Farm, Forestry and Garden Workers",108.2,111.9,3.7,3.4,,
"Farm, Forestry and Garden Workers",108.2,111.9,3.7,3.4,,
Aquaculture Workers,2.0,2.0,0.0,0.0,,
Crop Farm Workers,18.7,19.3,0.7,3.5,,
Forestry and Logging Workers,4.2,4.3,0.1,1.8,,
Garden and Nursery Labourers,35.4,37.6,2.2,6.1,,
Livestock Farm Workers,31.8,32.1,0.3,1.0,,
Mixed Crop and Livestock Farm Workers,2.6,2.7,0.1,2.6,,
"Other Farm, Forestry and Garden Workers",8.1,8.6,0.5,6.1,,
"Farm, Forestry and Garden Workers nfd",6.9,6.8,-0.1,-1.3,,
Food Preparation Assistants,192.6,213.3,20.7,10.8,,
Food Preparation Assistants,192.6,213.3,20.7,10.8,,
Fast Food Cooks,56.9,67.2,10.3,18.0,,
Food Trades Assistants,8.0,8.4,0.5,5.9,,
Kitchenhands,128.1,137.9,9.9,7.7,,
Food Preparation Assistants nfd,0.9,1.0,0.1,13.5,,
Other Labourers,217.7,233.3,15.6,7.1,,
Freight Handlers and Shelf Fillers,84.3,90.4,6.1,7.2,,
Freight and Furniture Handlers,11.9,12.0,0.1,0.7,,
Shelf Fillers,74.5,80.5,6.0,8.0,,
Freight Handlers and Shelf Fillers nfd,0.1,0.1,0.0,7.1,,
Miscellaneous Labourers,131.0,140.5,9.4,7.2,,
Caretakers,5.2,5.5,0.3,5.7,,
Deck and Fishing Hands,6.0,5.7,-0.3,-4.3,,
Handypersons,36.3,38.0,1.8,4.9,,
Motor Vehicle Parts and Accessories Fitters,11.0,11.0,0.0,0.4,,
Printing Assistants and Table Workers,1.4,1.5,0.2,11.0,,
Recycling and Rubbish Collectors,2.5,2.5,0.0,0.2,,
Vending Machine Attendants,5.9,6.3,0.3,5.6,,
Other Miscellaneous Labourers,64.9,72.0,7.1,11.0,,
Other Labourers nfd,0.7,0.7,0.0,7.1,,
Other Labourers nfd,0.7,0.7,0.0,7.1,,
Miscellaneous Labourers nfd,0.1,0.1,0.0,-9.0,,
Labourers nfd,5.6,5.8,0.2,3.3,,
Labourers nfd,5.6,5.8,0.2,3.3,,
Labourers nfd,5.6,5.8,0.2,3.3,,
ALL OCCUPATIONS,"12,951.8","14,128.0","1,176.2",9.1,,
,,,,,,
,,,,,,
,,,,,,
